1 3
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
14 4
15 4
16 4
17 4
18 4
19 4
20 4
21 4
22 4
23 4
24 5
25 5
26 5
27 5
28 5
29 5
30 5
31 6
32 7
33 7
34 7
35 7
36 7
37 7
38 8
39 9
40 9
41 9
42 9
43 9
44 9
45 10
46 10
47 10
48 10
49 12
50 12
51 12
52 12
53 12
54 12
55 12
56 13
57 13
58 13
59 13
60 13
61 14
62 14
63 14
64 14
65 14
66 14
67 14
68 14
69 15
70 15
71 15
72 15
73 15
74 15
75 15
76 15
77 15
78 15
79 15
80 15
81 15
82 15
83 15
84 15
85 15
86 15
87 15
88 15
89 15
90 15
91 15
92 15
93 15
94 15
95 15
96 15
97 15
98 15
99 15
100 15
101 15
102 15
103 15
104 15
105 15
106 15
107 15
108 15
109 15
110 15
111 15
112 15
