0	111	80	85	107	52
1	175	150	121	113	58
2	252	229	166	127	47
3	353	322	228	146	53
4	497	445	282	177	63
5	645	650	401	199	73
6	936	888	525	258	86
7	1205	1128	674	334	111
8	1598	1694	1231	403	122
9	2163	2036	1695	505	135
10	2825	2502	2277	571	137
11	3501	3089	3146	657	146
12	4373	3858	5232	735	178
13	5664	4636	6391	886	196
14	8074	5883	7988	1029	204
15	12022	7375	9942	1139	208
16	17439	9172	11826	1347	226
17	23710	10149	14769	1636	244
18	32341	12462	18077	1940	282
19	42751	15113	21571	2500	315
20	52690	17660	25496	3000	365
21	64916	21157	29909	-1	379
22	81966	24747	35480	-1	419
23	100997	27980	42058	-1	437
24	121015	31506	50105	-1	473
25	141288	35713	57786	-1	506
26	162191	41035	65719	-1	554
27	186979	47021	73232	-1	595
28	212747	53578	80110	-1	638
29	241626	59138	87956	-1	665
30	273808	63927	95923	-1	678
31	-1	69176	104118	-1	705
32	-1	74386	112065	-1	694
33	-1	80535	119199	-1	719
34	-1	86498	-1	-1	757
35	-1	92472	-1	-1	803
36	-1	97689	-1	-1	825
37	-1	101739	-1	-1	851
38	-1	105792	-1	-1	865
39	-1	110574	-1	-1	952
40	-1	115242	-1	-1	981
41	-1	119827	-1	-1	1078
42	-1	-1	-1	-1	1237
43	-1	-1	-1	-1	1388
44	-1	-1	-1	-1	1473
45	-1	-1	-1	-1	1697
46	-1	-1	-1	-1	1855
47	-1	-1	-1	-1	2082
48	-1	-1	-1	-1	2352
49	-1	-1	-1	-1	2548
